Gender,AgeClass,Event,WeightClass,AnnualImprovement
M,,B,100.0,-1.8371428571428592
M,35-39,B,67.5,0.6111111111111112
F,24-34,B,67.5,-0.0
F,24-34,B,69.5,1.25
M,16-17,B,66.4,20.0
M,18-19,B,78.7,18.75
M,16-17,B,66.4,13.125
M,18-19,B,67.4,7.5
M,18-19,B,72.9,2.5
M,18-19,B,69.6,7.5
M,45-49,B,73.6,-5.0
M,45-49,B,75.0,-3.75
M,,B,82.2,30.0
M,,B,80.9,6.666666666666667
M,35-39,B,82.15,-3.75
M,35-39,B,81.5,7.5
M,24-34,B,82.1,5.5
M,35-39,B,81.7,2.0
M,40-44,B,81.2,8.5
M,40-44,B,82.15,3.25
M,40-44,B,87.9,2.3
M,35-39,B,81.9,1.25
M,35-39,B,80.95,3.125
M,40-44,B,81.6,11.25
M,40-44,B,82.8,-22.0
M,45-49,B,86.5,-13.214285714285714
M,35-39,B,79.55,9.375
M,55-59,B,81.4,-0.0
F,24-34,B,88.1,17.5
F,24-34,B,87.3,22.5
M,18-19,B,84.2,-0.0
M,24-34,B,88.8,8.75
M,,B,92.5,22.5
M,,B,86.7,-5.0
M,,B,86.2,4.5
M,,B,89.4,2.5
M,24-34,B,89.9,1.5
M,24-34,B,89.8,-1.9642857142857142
M,40-44,B,94.25,
M,40-44,B,91.75,
M,24-34,B,88.5,-2.5
M,24-34,B,97.3,3.25
M,24-34,B,108.85,1.5625
M,24-34,B,102.15,16.25
M,24-34,B,91.5,16.25
M,35-39,B,95.6,
M,35-39,B,89.9,10.0
M,35-39,B,88.4,-1.25
M,40-44,B,97.1,-5.0
M,40-44,B,90.0,-2.5
M,40-44,B,96.4,-3.75
M,40-44,B,99.9,0.0
M,45-49,B,94.8,0.45454545454545453
M,55-59,B,96.0,-5.0
M,55-59,B,91.1,10.0
M,55-59,B,94.1,7.5
M,55-59,B,95.0,0.0
M,55-59,B,94.1,-7.5
M,55-59,B,94.5,-15.0
M,55-59,B,94.1,-3.0
M,45-49,B,91.95,0.0
M,50-54,B,94.3,-2.5
M,60-64,B,96.9,-2.5
M,60-64,B,100.8,-7.5
M,16-17,B,109.2,35.0
M,13-15,B,93.1,5.0
M,18-19,B,108.6,13.75
M,20-23,B,120.6,25.0
M,20-23,B,113.2,17.5
M,20-23,B,103.2,17.25
